Site,Anabolia_sp,Ancylus_fluviatilis,Asellus_aquaticus,Baetidae,Baetis_sp,Baetis_fuscatus,Baetis_macani,Baetis_muticus,Baetis_rhodani,Bathyomphalus_contortus,Caenis_luctuosa,Chaetopteryx_sp,Chironimini,Eiseniella_tetraedra,Elmis_aenea,Elodes_sp,Empididae,Ephemera_danica,Ephemerella_ignita,Ephemerella_sp,Erpobdella_octoculata,Gammarus_pulex,Glossiphonia_complanata,Goera_pilosa,Halesus_radiatus,Halesus_sp,Helobdella_stagnalis,Heptagenia_sulphurea,Hydraena_gracilis,Hydropsyche_angustipennis,Hydropsyche_siltalai,Isoperla_grammatica,Lepidostoma_hirtum,Leuctra_sp,Limnephilidae,Limnephilus_lunatus,Limnephilus_sp,Limnius_volckmari,Lype_phaeopa,Pisidium_sp,Plectrocnemia_sp,Polycentropus_flavomaculatus,Polycelis_sp,Potamophylax_cingulatus,Procloeon_bifidum,Radix_balthica,Rhyacophila_fasciata,Rhyacophila_nubila,Sericostoma_personatum,Sigara,Sialis_lutaria,Simuliidae,Silo_pallipes,Sphaerium,Tabanidae_sp
1,3.2,3.2,0,0,0,33.6,1.6,0,1.6,0,0,40,624,0,0,0,0,85,0,0,1.6,1085,1.6,9.6,0,0,0,0,0,0,0,0,16,1.6,0,1.6,0,0,0,340,0,0,0,0,1.6,0,0,0,0,0,0,72,3.2,0,0
2,0,0,1.6,1.6,0,0,0,0,0,6.4,0,0,185.6,3.2,0,0,0,0,0,0,19.2,3.2,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,3.2,0,0,76.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,1.6,1.6,0,0,0,0,0,0,0,43.2,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,1.6,0,0,3.2,0,0,0,30.4,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,227.2,0,3.2,0,124.8,0,0,0,132.8,1.6,3.2,0,0,0,3.2,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,9.6,0,0,0,0,8,6.4,0,0
5,0,44.8,0,0,3.2,8,0,0,4.8,0,0,30.4,38.4,0,1.6,0,0,24,1.6,0,0,148.8,0,0,27.2,3.2,0,16,6.4,0,8,0,0,17.6,0,0,0,12.8,0,12.8,0,4.8,0,12.8,0,0,0,1.6,6.4,0,0,0,9.6,0,0
6,0,0,28.8,0,1.6,0,17.6,0,0,0,9.6,0,30.4,0,0,0,0,0,4.8,0,41.6,160,6.4,0,0,0,43.2,0,0,0,0,0,0,0,0,0,0,0,0,33.6,0,0,0,0,0,0,0,0,0,3.2,0,0,0,36.8,0
7,0,0,3.2,0,73.6,0,0,0,233.6,3.2,1.6,14.4,1321.6,0,1.6,0,3.2,9.6,0,3.2,3.2,590.4,0,0,0,1.6,0,0,9.6,0,4.8,0,0,78.4,1.6,1.6,0,0,0,0,1.6,0,1.6,0,0,1.6,14.4,0,0,0,0,1225.6,0,0,3.2
8,0,0,3.2,0,3.2,0,0,0,0,0,0,1.6,564.8,0,1.6,0,1.6,64,0,0,0,948.8,0,0,0,0,0,0,0,11.2,0,0,0,0,99.2,88,0,4.8,1.6,571.2,0,0,0,0,0,0,0,0,0,1.6,4.8,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,60.8,0,4.8,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,16,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0
10,1.6,0,4.8,0,1.6,0,1.6,0,1.6,0,0,0,84.8,0,0,1.6,1.6,0,0,0,0,828.8,0,0,1.6,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1.6,0,0,0,0,0,0,0,0,0,894.4,0,0,1.6,0,0,0,0,1.6,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,8,0,0,0,0,0,0,0,0,0,0,6.4,0
12,0,1.6,0,0,44.8,0,0,0,27.2,1.6,0,17.6,196.8,3.2,3.2,0,0,0,0,0,33.6,1048,1.6,1.6,3.2,0,1.6,0,0,8,6.4,0,0,0,0,0,3.2,3.2,0,1193.6,0,0,0,3.2,0,0,0,0,0,0,0,6.4,0,169.6,0
13,16,3.2,0,0,1.6,0,0,0,0,0,0,1.6,84.8,0,0,0,4.8,3.2,6.4,0,0,238.4,0,0,9.6,1.6,0,4.8,0,0,0,4.8,0,0,1.6,0,0,0,0,4.8,1.6,0,0,0,0,0,0,1.6,1.6,0,0,0,1.6,0,1.6
14,0,0,4.8,0,0,0,0,1.6,0,0,0,0,288,0,9.6,0,0,9.6,0,0,1.6,168,0,1.6,6.4,1.6,0,0,0,0,0,0,0,0,0,0,0,9.6,1.6,248,0,3.2,0,0,0,8,0,0,0,0,1.6,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,14.4,51.2,0,0,0,0,22.4,0,0,1.6,62.4,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,1.6,0,0,0,0,0,1.6,0,0,0,0
16,0,0,0,0,0,0,0,3.2,28.8,0,0,41.6,86.4,22.4,0,0,4.8,8,0,3.2,0,131.2,0,0,59.2,0,0,0,0,0,8,9.6,0,6.4,0,0,0,57.6,0,12.8,0,3.2,0,0,0,0,0,1.6,24,0,0,46.4,4.8,0,0
17,0,0,0,0,4.8,0,0,0,4.8,0,0,0,620.8,0,0,0,0,0,0,0,0,161.6,0,0,4.8,1.6,0,0,0,0,1.6,0,0,0,0,0,0,1.6,0,32,0,0,0,0,1.6,0,0,0,0,0,0,11.2,0,0,0
18,0,0,0,0,60.8,0,0,0,62.4,0,0,0,976,1.6,16,0,3.2,0,4.8,3.2,12.8,1187.2,0,0,0,0,0,0,0,0,4.8,0,3.2,0,0,0,0,0,0,1.6,0,0,0,0,0,20.8,0,11.2,0,0,0,3.2,0,0,0
