Species,Depositfeeder,Shredder,Scraper,Filterfeeder,Predator,FlagsBoulderCobblesPebbles,Gravel,Sand,Silt,Macrophyte,Microphytes,TwigsRoots,OrganicdetritusLitter,Mud,250_500,500_1000,1000_2000,2000_4000,4000_8000,Null,Slow,Medium,Fast
Anabolia_sp,0.142857142857143,0.428571428571429,0.285714285714286,0,0.142857142857143,0.272727272727273,0,0.181818181818182,0,0.454545454545455,0,0,0.0909090909090909,0,0,0,0.4,0.6,0,1,3,2,0
Ancylus_fluviatilis,0,0,1,0,0,0.357142857142857,0.285714285714286,0,0,0.142857142857143,0.142857142857143,0.0714285714285714,0,0,0,0.5,0.5,0,0,1,1,3,2
Asellus_aquaticus,0,1,0,0,0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0,0.294117647058824,0.176470588235294,0.117647058823529,0.176470588235294,0.0588235294117647,0,0,1,0,0,3,3,0,0
Baetidae,0.25,0,0.75,0,0,0.25,0.125,0.0625,0,0.3125,0,0.1875,0.0625,0,0,0.75,0.25,0,0,0,2,3,2
Baetis_sp,0.25,0,0.75,0,0,0.25,0.125,0.0625,0,0.3125,0,0.1875,0.0625,0,0,0.75,0.25,0,0,0,2,3,2
Baetis_fuscatus,0.25,0,0.75,0,0,0.25,0.125,0.0625,0,0.3125,0,0.1875,0.0625,0,0,0.75,0.25,0,0,0,2,3,2
Baetis_macani,0.25,0,0.75,0,0,0.25,0.125,0.0625,0,0.3125,0,0.1875,0.0625,0,0,0.75,0.25,0,0,0,2,3,2
Baetis_muticus,0.25,0,0.75,0,0,0.25,0.125,0.0625,0,0.3125,0,0.1875,0.0625,0,0,0.75,0.25,0,0,0,2,3,2
Baetis_rhodani,0.25,0,0.75,0,0,0.25,0.125,0.0625,0,0.3125,0,0.1875,0.0625,0,0,0.75,0.25,0,0,0,2,3,2
Bathyomphalus_contortus,0,1,0,0,0,0.230769230769231,0.0769230769230769,0,0,0.384615384615385,0.0769230769230769,0,0,0.230769230769231,0.6,0.4,0,0,0,3,2,0,0
